iter	Passed	Remaining
0	3	3578
1	6	3375
2	9	3264
3	12	3167
4	15	3137
5	18	3088
6	21	3055
7	24	3029
8	27	3012
9	30	3021
10	33	3013
11	36	2997
12	39	2996
13	42	2985
14	45	2994
15	48	3011
16	52	3007
17	54	2999
18	57	2990
19	61	2990
20	63	2981
21	66	2970
22	69	2964
23	72	2956
24	75	2951
25	78	2947
26	81	2945
27	84	2946
28	88	2949
29	91	2962
30	94	2962
31	97	2961
32	101	2961
33	104	2963
34	107	2969
35	110	2969
36	114	2967
37	117	2963
38	120	2958
39	123	2961
40	126	2955
41	129	2951
42	132	2944
43	135	2941
44	138	2942
45	142	2948
46	145	2946
47	148	2941
48	151	2936
49	154	2933
50	157	2929
51	160	2923
52	163	2917
53	166	2912
54	169	2912
55	172	2909
56	175	2905
57	178	2901
58	181	2902
59	185	2903
60	188	2907
61	192	2905
62	195	2903
63	198	2905
64	201	2901
65	204	2898
66	207	2894
67	210	2890
68	214	2887
69	217	2884
70	220	2879
71	223	2878
72	226	2875
73	229	2872
74	232	2869
75	235	2865
76	238	2863
77	241	2859
78	244	2856
79	247	2850
80	250	2847
81	254	2844
82	257	2840
83	260	2838
84	263	2834
85	266	2831
86	269	2827
87	272	2825
88	275	2822
89	278	2818
90	281	2814
91	284	2810
92	288	2810
93	291	2807
94	294	2803
95	297	2799
96	300	2797
97	303	2794
98	306	2791
99	309	2787
100	312	2782
101	315	2778
102	318	2774
103	321	2772
104	324	2767
105	327	2763
106	330	2759
107	333	2756
108	336	2753
109	339	2749
110	342	2745
111	345	2741
112	348	2738
113	352	2737
114	355	2733
115	358	2730
116	361	2726
117	364	2724
118	367	2721
119	370	2717
120	373	2713
121	376	2710
122	379	2707
123	382	2704
124	385	2700
125	388	2697
126	391	2694
127	395	2692
128	398	2688
129	401	2684
130	404	2681
131	407	2677
132	410	2674
133	413	2671
134	416	2667
135	419	2663
136	422	2659
137	425	2657
138	428	2654
139	431	2650
140	434	2646
141	437	2643
142	440	2638
143	443	2636
144	446	2632
145	449	2628
146	452	2625
147	455	2622
148	458	2620
149	461	2616
150	464	2612
151	467	2609
152	470	2605
153	474	2604
